code,description,category,targetType,targetValue,discountType,amount,buyQuantity,getQuantity,priority,exclusivityGroup,active
SENIOR_20,Senior Disc 20%,ELIGIBILITY,TRANSACTION,,PERCENT_OFF,20,,,2,CUSTOMER_ELIGIBILITY,true
VETERAN_15,Veteran Disc 15%,ELIGIBILITY,TRANSACTION,,PERCENT_OFF,15,,,2,CUSTOMER_ELIGIBILITY,true
EMPLOYEE_5,Employee Disc $5 Off,ELIGIBILITY,TRANSACTION,,FIXED_AMOUNT_OFF,5.00,,,2,CUSTOMER_ELIGIBILITY,true
BOGO_MONSTER,Buy 2 Get 1 Monster,PROMOTIONAL,UPC,070847811169,PROMO,,2,1,1,,true
BOGO_MONSTER_ZERO,Buy 2 Get 1 Monster Energy Zero Ultra,PROMOTIONAL,UPC,070847012474,PROMO,,2,1,1,,true
BOGO_MONSTER_MANGO,Buy 2 Get 1 Monster Mango Loco 16oz,PROMOTIONAL,UPC,070847029014,PROMO,,2,1,1,,true
BOGO_REDBULL_12Z,Buy 2 Get 1 Red Bull Energy 12oz,PROMOTIONAL,UPC,611269818994,PROMO,,2,1,1,,true
BOGO_REDBULL_BLUE,Buy 2 Get 1 Red Bull Blue Ed 12oz,PROMOTIONAL,UPC,611269182460,PROMO,,2,1,1,,true
BOGO_CELSIUS_ORG,BOGO Celsius Orange 12oz,PROMOTIONAL,UPC,889392000313,PROMO,,1,1,1,,true
BOGO_CELSIUS_BERRY,BOGO Celsius Wild Berry 12oz,PROMOTIONAL,UPC,889392000320,PROMO,,1,1,1,,true
BOGO_ROCKSTAR_16Z,BOGO Rockstar Energy 16oz,PROMOTIONAL,UPC,818094005777,PROMO,,1,1,1,,true
BOGO_GHOST_ORGCRM,BOGO Ghost Energy Orange Cream 16oz,PROMOTIONAL,UPC,810085812180,PROMO,,1,1,1,,true
B2G1_NOS_16Z,Buy 2 Get 1 NOS 16oz,PROMOTIONAL,UPC,815154020008,PROMO,,2,1,1,,true
BOGO_5HR_BERRY,BOGO 5-Hour Energy XS Berry,PROMOTIONAL,UPC,719410700010,PROMO,,1,1,1,,true
REIGN_DRMSCL_25,25% Off Reign Dreamsicle 16oz,PROMOTIONAL,UPC,815154021906,PERCENT_OFF,25,,,1,,true
C4_STRW_100OFF,$1.00 Off C4 Strawberry 16oz,PROMOTIONAL,UPC,842595121759,FIXED_AMOUNT_OFF,1.00,,,1,,true
MNST_JAVA_50OFF,$0.50 Off Monster Java Mean Bean 15oz,PROMOTIONAL,UPC,070847812609,FIXED_AMOUNT_OFF,0.50,,,1,,true
RB_SF_84Z_2FOR,Buy 2 Save $1.00 Red Bull Sugarfree 8.4oz,PROMOTIONAL,UPC,611269101713,FIXED_AMOUNT_OFF,1.00,2,,1,,true
COKE_20Z_2FOR,Buy 2 Save $1.00 Coke Classic 20oz,PROMOTIONAL,UPC,194283301289,FIXED_AMOUNT_OFF,1.00,2,,1,,true
PEPSI_20Z_2FOR,Buy 2 Save $1.00 Pepsi 20oz,PROMOTIONAL,UPC,012000001291,FIXED_AMOUNT_OFF,1.00,2,,1,,true
DRPEP_ZERO_2FOR,Buy 2 Save $1.00 Dr Pepper Zero Sugar 20oz,PROMOTIONAL,UPC,078000035308,FIXED_AMOUNT_OFF,1.00,2,,1,,true
PEPSI_ZERO_2FOR,Buy 2 Save $1.00 Pepsi Zero Sugar 20oz,PROMOTIONAL,UPC,012000018800,FIXED_AMOUNT_OFF,1.00,2,,1,,true
SPRITE_20Z_30OFF,$0.30 Off Sprite 20oz,PROMOTIONAL,UPC,049000007640,FIXED_AMOUNT_OFF,0.30,,,1,,true
BOGO_FANTA_20Z,BOGO Fanta 20oz,PROMOTIONAL,UPC,049000019162,PROMO,,1,1,1,,true
CHERRYCOKE_2FOR,Buy 2 Save $0.98 Coke Cherry 20oz,PROMOTIONAL,UPC,049000018011,FIXED_AMOUNT_OFF,0.98,2,,1,,true
DTCOKE_20Z_2FOR,Buy 2 Save $1.00 Diet Coke 20oz,PROMOTIONAL,UPC,049000000450,FIXED_AMOUNT_OFF,1.00,2,,1,,true
CKWATER_169_B2G1,Buy 2 Get 1 Circle K Purified 16.9oz,PROMOTIONAL,UPC,194283301326,PROMO,,2,1,1,,true
SMARTWATER_20Z_15,15% Off Glaceau Smartwater 20oz,PROMOTIONAL,UPC,786162200433,PERCENT_OFF,15,,,1,,true
FIJI_1L_100OFF,$1.00 Off Fiji Water 1L,PROMOTIONAL,UPC,632565000029,FIXED_AMOUNT_OFF,1.00,,,1,,true
CORE_304Z_2FOR,Buy 2 Save $1.28 Core Hydration 30.4oz,PROMOTIONAL,UPC,853004004037,FIXED_AMOUNT_OFF,1.28,2,,1,,true
ESSENTIA_700_20,20% Off Essentia 700ml Sport Cap,PROMOTIONAL,UPC,657227000247,PERCENT_OFF,20,,,1,,true
CK_1L_WATER_2FOR,Buy 2 Save $1.00 Circle K 1 Liter,PROMOTIONAL,UPC,194283301364,FIXED_AMOUNT_OFF,1.00,2,,1,,true
GATOR_FP_B2G1,Buy 2 Get 1 Gatorade Fruit Punch 28oz,PROMOTIONAL,UPC,052000135138,PROMO,,2,1,1,,true
GATOR_CB_2FOR,Buy 2 Save $1.84 Gatorade Cool Blue,PROMOTIONAL,UPC,052000135176,FIXED_AMOUNT_OFF,1.84,2,,1,,true
BODYARMOR_SB_25,25% Off Body Armor Strawberry Banana 28oz,PROMOTIONAL,UPC,858176002317,PERCENT_OFF,25,,,1,,true
POWERADE_BLST_2FOR,Buy 2 Save $1.00 Powerade Blast 28oz,PROMOTIONAL,UPC,049000079357,FIXED_AMOUNT_OFF,1.00,2,,1,,true
PRIME_ICEPOP_100,$1.00 Off Prime Hydration Ice Pop,PROMOTIONAL,UPC,810116120369,FIXED_AMOUNT_OFF,1.00,,,1,,true
REESE_KS_B2G1,Buy 2 Get 1 Reeses PB Cup King Size,PROMOTIONAL,UPC,034000004805,PROMO,,2,1,1,,true
SNICKERS_KS_2FOR,Buy 2 Save $1.38 Snickers King Size,PROMOTIONAL,UPC,040000002635,FIXED_AMOUNT_OFF,1.38,2,,1,,true
TWIX_KS_2FOR,Buy 2 Save $1.38 Twix Caramel King Size,PROMOTIONAL,UPC,040000004059,FIXED_AMOUNT_OFF,1.38,2,,1,,true
KITKAT_KS_2FOR,Buy 2 Save $1.38 Kit Kat King Size,PROMOTIONAL,UPC,034000002290,FIXED_AMOUNT_OFF,1.38,2,,1,,true
